season,row_count,generated_at_utc,source
2016,1810,2026-09-10 03:21:23 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,1831,2026-09-10 03:23:06 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,1917,2026-09-14 21:48:16 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,1915,2026-09-14 21:24:22 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,1540,2026-09-14 21:53:03 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,1918,2026-09-14 22:10:26 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,1908,2026-09-14 21:07:51 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,1923,2026-09-14 21:28:47 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,1916,2026-09-14 21:34:20 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,1917,2026-09-14 21:39:44 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,379,2026-09-18 16:45:52 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
