season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,side,rank,league_average_separation_to_qb,esb_id,gsis_id,team_id,player_name,short_name,position,headshot,jersey_number,tackles,assists,sacks,forced_fumbles,blitz_count,avg_separation_to_qb
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,home,1,4.577731882513236,MEA790667,00-0030387,3700,Steven Means,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/rggc0gllekkxljklumrf,51,1,0,1,1,1,5.510108891845972
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,home,2,4.577731882513236,BAR811942,00-0027022,3700,Connor Barwin,,OLB,https://static.www.nfl.com/image/private/{formatInstructions}/league/xtaqskqpspksh4krryfb,98,1,1,0,0,0,
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,home,3,4.577731882513236,COX200177,00-0029653,3700,Fletcher Cox,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kqkkow22mfzvew5e3ltf,91,1,0,1,1,0,
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,home,4,4.577731882513236,ALL062169,00-0031089,3700,Beau Allen,,NT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wdrrbnpzonny68ipokoa,94,1,1,0,0,0,
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,visitor,1,4.577731882513236,SPE410844,00-0030402,4900,Akeem Spence,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/qtyh6dv78h5dxhgdhscg,97,1,0,1,0,1,0.7636753236814752
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,visitor,2,4.577731882513236,JON402377,00-0030881,4900,Howard Jones,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/qxtkcrkdljih36bcovea,95,3,0,1,0,1,1.2520782723136827
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,visitor,3,4.577731882513236,MCD242013,00-0026964,4900,Clinton McDonald,,DT,https://static.www.nfl.com/image/private/{formatInstructions}/league/w5ifm5yk23wn8tccsnk8,98,2,0,1,0,0,
2016,PRE,1,2016081151,56851,08/11/2016,3700,PHI,4900,TB,visitor,4,4.577731882513236,SMI344730,00-0029112,4900,Jacquies Smith,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/hwwhrz084dfze7qbda62,56,1,0,1,0,0,
2016,PRE,1,2016081152,56852,08/11/2016,0200,ATL,5110,WAS,home,1,4.577731882513236,CAP202201,00-0031982,0200,Cap Capi,,DE,https://static.www.nfl.com/image/private/{formatInstructions}/league/anwmpuvwlksgljdk2zlz,96,0,1,0,0,1,3.4545332535669693
2016,PRE,1,2016081152,56852,08/11/2016,0200,ATL,5110,WAS,home,2,4.577731882513236,JOH141308,00-0032589,0200,Cory Johnson,,DT,,98,2,1,1,0,1,1.0694391053257797
2016,PRE,1,2016081152,56852,08/11/2016,0200,ATL,5110,WAS,home,3,4.577731882513236,WIL156730,00-0032828,0200,Brandon Williams,,DE,,71,1,2,0,0,1,2.675256997000476
2016,PRE,1,2016081152,56852,08/11/2016,0200,ATL,5110,WAS,home,4,4.577731882513236,MCL622603,00-0032586,0200,Ivan McLennan,,LB,,48,1,1,1,0,0,
2016,PRE,1,2016081153,56838,08/11/2016,0325,BAL,0750,CAR,home,1,4.577731882513236,SMI827086,00-0031576,0325,Za'Darius Smith,,OLB,https://static.www.nfl.com/image/private/{formatInstructions}/league/go23rugyophht4ytnse0,90,1,0,1,1,1,9.164065691602172
2016,PRE,1,2016081153,56838,08/11/2016,0325,BAL,0750,CAR,home,2,4.577731882513236,CAR629400,00-0028100,0325,Chris Carter,,OLB,https://static.www.nfl.com/image/private/{formatInstructions}/league/ls8fucfotvwxyro3s3k4,56,0,2,0,0,0,
