season,row_count,generated_at_utc,source
2016,2290,2026-09-10 03:21:15 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,2522,2026-09-10 03:22:58 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,2656,2026-09-14 21:48:05 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,2656,2026-09-14 21:24:12 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,2152,2026-09-14 21:52:54 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,2664,2026-09-14 22:10:15 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,2660,2026-09-14 21:07:39 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,2672,2026-09-14 21:28:37 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,2672,2026-09-14 21:34:09 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,2672,2026-09-14 21:39:33 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,520,2026-09-16 11:48:51 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
