season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,side,rank,pass_yards,attempts,completions,interceptions,touchdowns
2010,PRE,0,2010080851,55073,08/08/2010,0920,CIN,1200,DAL,home,1,0,0,0,0,0
2010,PRE,0,2010080851,55073,08/08/2010,0920,CIN,1200,DAL,visitor,1,0,0,0,0,0
2010,PRE,1,2010081251,55074,08/12/2010,0325,BAL,0750,CAR,home,1,0,0,0,0,0
2010,PRE,1,2010081251,55074,08/12/2010,0325,BAL,0750,CAR,visitor,1,0,0,0,0,0
2010,PRE,1,2010081252,55075,08/12/2010,3200,NE,3300,NO,home,1,0,0,0,0,0
2010,PRE,1,2010081252,55075,08/12/2010,3200,NE,3300,NO,visitor,1,0,0,0,0,0
2010,PRE,1,2010081253,55076,08/12/2010,1200,DAL,2520,OAK,home,1,0,0,0,0,0
2010,PRE,1,2010081253,55076,08/12/2010,1200,DAL,2520,OAK,visitor,1,0,0,0,0,0
2010,PRE,1,2010081351,55077,08/13/2010,5110,WAS,0610,BUF,home,1,0,0,0,0,0
2010,PRE,1,2010081351,55077,08/13/2010,5110,WAS,0610,BUF,visitor,1,0,0,0,0,0
2010,PRE,1,2010081352,55078,08/13/2010,3700,PHI,2250,JAX,home,1,0,0,0,0,0
2010,PRE,1,2010081352,55078,08/13/2010,3700,PHI,2250,JAX,visitor,1,0,0,0,0,0
2010,PRE,1,2010081353,55079,08/13/2010,0200,ATL,2310,KC,home,1,0,0,0,0,0
2010,PRE,1,2010081353,55079,08/13/2010,0200,ATL,2310,KC,visitor,1,0,0,0,0,0
2010,PRE,1,2010081451,55080,08/14/2010,2700,MIA,4900,TB,home,1,0,0,0,0,0
2010,PRE,1,2010081451,55080,08/14/2010,2700,MIA,4900,TB,visitor,1,0,0,0,0,0
2010,PRE,1,2010081452,55081,08/14/2010,3900,PIT,1540,DET,home,1,0,0,0,0,0
2010,PRE,1,2010081452,55081,08/14/2010,3900,PIT,1540,DET,visitor,1,0,0,0,0,0
2010,PRE,1,2010081453,55082,08/14/2010,1800,GB,1050,CLE,home,1,0,0,0,0,0
2010,PRE,1,2010081453,55082,08/14/2010,1800,GB,1050,CLE,visitor,1,0,0,0,0,0
2010,PRE,1,2010081454,55083,08/14/2010,3800,ARI,2120,HOU,home,1,0,0,0,0,0
2010,PRE,1,2010081454,55083,08/14/2010,3800,ARI,2120,HOU,visitor,1,0,0,0,0,0
2010,PRE,1,2010081455,55084,08/14/2010,2510,STL,3000,MIN,home,1,0,0,0,0,0
2010,PRE,1,2010081455,55084,08/14/2010,2510,STL,3000,MIN,visitor,1,0,0,0,0,0
2010,PRE,1,2010081456,55085,08/14/2010,4400,SD,0810,CHI,home,1,0,0,0,0,0
2010,PRE,1,2010081456,55085,08/14/2010,4400,SD,0810,CHI,visitor,1,0,0,0,0,0
2010,PRE,1,2010081457,55086,08/14/2010,4600,SEA,2100,TEN,home,1,0,0,0,0,0
2010,PRE,1,2010081457,55086,08/14/2010,4600,SEA,2100,TEN,visitor,1,0,0,0,0,0
2010,PRE,1,2010081551,55087,08/15/2010,2200,IND,4500,SF,home,1,0,0,0,0,0
2010,PRE,1,2010081551,55087,08/15/2010,2200,IND,4500,SF,visitor,1,0,0,0,0,0
2010,PRE,1,2010081552,55088,08/15/2010,0920,CIN,1400,DEN,home,1,0,0,0,0,0
2010,PRE,1,2010081552,55088,08/15/2010,0920,CIN,1400,DEN,visitor,1,0,0,0,0,0
2010,PRE,1,2010081651,55089,08/16/2010,3430,NYJ,3410,NYG,home,1,0,0,0,0,0
2010,PRE,1,2010081651,55089,08/16/2010,3430,NYJ,3410,NYG,visitor,1,0,0,0,0,0
2010,PRE,2,2010081951,55090,08/19/2010,0200,ATL,3200,NE,home,1,0,0,0,0,0
2010,PRE,2,2010081951,55090,08/19/2010,0200,ATL,3200,NE,visitor,1,0,0,0,0,0
2010,PRE,2,2010081952,55091,08/19/2010,0610,BUF,2200,IND,home,1,0,0,0,0,0
2010,PRE,2,2010081952,55091,08/19/2010,0610,BUF,2200,IND,visitor,1,0,0,0,0,0
2010,PRE,2,2010082051,55092,08/20/2010,0920,CIN,3700,PHI,home,1,0,0,0,0,0
2010,PRE,2,2010082051,55092,08/20/2010,0920,CIN,3700,PHI,visitor,1,0,0,0,0,0
2010,PRE,2,2010082151,55093,08/21/2010,5110,WAS,0325,BAL,home,1,0,0,0,0,0
2010,PRE,2,2010082151,55093,08/21/2010,5110,WAS,0325,BAL,visitor,1,0,0,0,0,0
2010,PRE,2,2010082152,55094,08/21/2010,3410,NYG,3900,PIT,home,1,0,0,0,0,0
2010,PRE,2,2010082152,55094,08/21/2010,3410,NYG,3900,PIT,visitor,1,0,0,0,0,0
2010,PRE,2,2010082153,55095,08/21/2010,4900,TB,2310,KC,home,1,0,0,0,0,0
2010,PRE,2,2010082153,55095,08/21/2010,4900,TB,2310,KC,visitor,1,0,0,0,0,0
2010,PRE,2,2010082154,55096,08/21/2010,2250,JAX,2700,MIA,home,1,0,0,0,0,0
2010,PRE,2,2010082154,55096,08/21/2010,2250,JAX,2700,MIA,visitor,1,0,0,0,0,0
2010,PRE,2,2010082155,55097,08/21/2010,1050,CLE,2510,STL,home,1,0,0,0,0,0
2010,PRE,2,2010082155,55097,08/21/2010,1050,CLE,2510,STL,visitor,1,0,0,0,0,0
2010,PRE,2,2010082156,55098,08/21/2010,3300,NO,2120,HOU,home,1,0,0,0,0,0
2010,PRE,2,2010082156,55098,08/21/2010,3300,NO,2120,HOU,visitor,1,0,0,0,0,0
2010,PRE,2,2010082157,55099,08/21/2010,0750,CAR,3430,NYJ,home,1,0,0,0,0,0
2010,PRE,2,2010082157,55099,08/21/2010,0750,CAR,3430,NYJ,visitor,1,0,0,0,0,0
2010,PRE,2,2010082158,55100,08/21/2010,0810,CHI,2520,OAK,home,1,0,0,0,0,0
2010,PRE,2,2010082158,55100,08/21/2010,0810,CHI,2520,OAK,visitor,1,0,0,0,0,0
2010,PRE,2,2010082159,55101,08/21/2010,4400,SD,1200,DAL,home,1,0,0,0,0,0
2010,PRE,2,2010082159,55101,08/21/2010,4400,SD,1200,DAL,visitor,1,0,0,0,0,0
2010,PRE,2,2010082160,55102,08/21/2010,1400,DEN,1540,DET,home,1,0,0,0,0,0
2010,PRE,2,2010082160,55102,08/21/2010,1400,DEN,1540,DET,visitor,1,0,0,0,0,0
2010,PRE,2,2010082161,55103,08/21/2010,4600,SEA,1800,GB,home,1,0,0,0,0,0
2010,PRE,2,2010082161,55103,08/21/2010,4600,SEA,1800,GB,visitor,1,0,0,0,0,0
2010,PRE,2,2010082251,55104,08/22/2010,4500,SF,3000,MIN,home,1,0,0,0,0,0
2010,PRE,2,2010082251,55104,08/22/2010,4500,SF,3000,MIN,visitor,1,0,0,0,0,0
2010,PRE,2,2010082351,55105,08/23/2010,2100,TEN,3800,ARI,home,1,0,0,0,0,0
