season,row_count,generated_at_utc,source
2009,636,2026-09-10 03:14:14 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2010,628,2026-09-10 03:15:00 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2011,632,2026-09-10 03:15:50 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2012,620,2026-09-10 03:16:36 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2013,502,2026-09-10 03:17:29 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2014,642,2026-09-10 03:18:23 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2015,618,2026-09-10 03:19:15 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2016,638,2026-09-10 03:20:48 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,634,2026-09-10 03:22:34 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,630,2026-09-10 03:24:18 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,650,2026-09-10 03:26:09 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,668,2026-09-10 01:46:55 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
