season,row_count,generated_at_utc,source
2015,2368,2026-09-10 03:19:33 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2016,2377,2026-09-10 03:21:06 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,2550,2026-09-10 03:22:50 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,2613,2026-09-10 03:24:36 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,2597,2026-09-10 03:26:26 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,2646,2026-09-10 03:28:10 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,3270,2026-09-10 03:29:58 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,3265,2026-09-10 03:31:51 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,3266,2026-09-10 03:33:40 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,3250,2026-09-10 03:35:29 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,3284,2026-09-10 03:37:15 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,499,2026-09-10 11:48:35 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
