season,season_type,week,scope,leaderboard,rank,league_average,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_actual_yards_to_go,play_actual_yardline_for_first_down,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,play_week,leader_pass_yards,leader_air_yards,leader_completion_probability,leader_receiver_birth_date,leader_receiver_college_name,leader_receiver_college_conference,leader_receiver_height,leader_receiver_weight,leader_receiver_entry_year,leader_receiver_rookie_year,leader_receiver_draft_club,leader_receiver_draft_number,leader_receiver_draftround,leader_receiver_team_abbr,leader_receiver_status_description_abbr,leader_receiver_status_short_description,leader_receiver_gsis_id,leader_receiver_display_name,leader_receiver_short_name,leader_receiver_esb_id,leader_receiver_position_group,leader_receiver_position,leader_receiver_jersey_number,leader_receiver_current_team_id,leader_receiver_season,leader_receiver_gsis_it_id,leader_receiver_smart_id,leader_receiver_first_name,leader_receiver_last_name,leader_receiver_football_name,leader_receiver_ngs_position,leader_receiver_ngs_position_group,leader_receiver_uniform_number,leader_receiver_status,leader_receiver_headshot,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_receiver_season_type,leader_receiver_week,leader_expected_rush_yards,leader_rush_yards_over_expected,leader_rush_yards,leader_is_touchdown,leader_yards_after_catch,leader_rec_yards,leader_expected_yards_after_catch,leader_yards_after_catch_over_expectation,leader_in_play_dist,leader_yards,leader_distance_covered,leader_max_speed,leader_time,leader_season_avg,leader_team_avg
2021,POST,0,season,completion,1,,2022021300,58836,1972,1972.0,"(15:00) J.Burrow pass deep left to T.Higgins for 75 yards, TOUCHDOWN.",2,play_type_pass,3,1,10,0920,15:00,CIN 25,25,CIN,35,2022-02-14T01:32:35.000Z,false,false,true,false,false,false,16,13,15:00,14:49,right,APPROVED,10,13,true,10.0,44.44,true,true,23,75,37.47,0.2208,1999-01-18,Clemson,Atlantic Coast Conference,6-4,210,2020,2020,CIN,33,2,CIN,A01,Active,00-0036410,Tee Higgins,T.Higgins,HIG387791,WR,WR,85,0920,2021,52441,32004849-4738-7791-9f89-d556c4b59b9a,Tamaurice,Higgins,Tee,WR,WR,85,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bhghlnepvrsmsztx0wzh,Joe Burrow,Joe,Burrow,J.Burrow,00-0036442,BUR679731,0920,CIN,9,QB,QB,23,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gnnvcgui1cijybukk2w7,,,,,,,,,,,,,,,,,
2021,POST,0,season,completion,2,,2022011500,58824,1428,1428.0,"(5:10) (Shotgun) J.Burrow pass deep middle to C.Uzomah to LV 40 for 29 yards (D.Deablo, R.Teamer).",2,play_type_pass,2,2,11,0920,05:10,CIN 31,31,CIN,41,2022-01-15T22:35:30.000Z,false,false,false,false,false,false,13,6,5:11,5:06,right,APPROVED,13,6,true,12.07,51.58,true,true,19,29,19.79,0.239,1993-01-14,Auburn,Southeastern Conference,6-6,260,2015,2015,CIN,157,5,CIN,A01,Active,00-0032134,C.J. Uzomah,C.Uzomah,UZO415291,TE,TE,87,0920,2021,42500,3200555a-4f41-5291-7c48-f42f95ee20d2,Christopher,Uzomah,C.J.,TE,TE,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mx5gvpkq84jphclpkvux,Joe Burrow,Joe,Burrow,J.Burrow,00-0036442,BUR679731,0920,CIN,9,QB,QB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gnnvcgui1cijybukk2w7,,,,,,,,,,,,,,,,,
2021,POST,0,season,completion,3,,2022012300,58833,4475,4475.0,(:35) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 44 for 20 yards (M.Edwards).,2,play_type_pass,4,2,11,2510,00:35,LA 24,24,LA,86,2022-01-23T23:21:40.000Z,false,false,false,false,false,false,27,27,:35,:30,left,APPROVED,27,27,false,11.97,75.53,true,true,20,20,18.590000000000003,0.2467,1993-06-15,Eastern Washington,Big Sky Conference,6-2,208,2017,2017,LA,69,3,NFC,A01,Active,00-0033908,Cooper Kupp,C.Kupp,KUP534597,WR,WR,10,8700,2021,44881,32004b55-5053-4597-b958-87408c31956f,Cooper,Kupp,Cooper,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jiaeufv3lpbkhulrddjq,Matthew Stafford,John,Stafford,M.Stafford,00-0026498,STA134157,2510,LA,9,QB,QB,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jwpkjfrkzufdyh8u1mg7,PRO,22,,,,,,,,,,,,,,,
2021,POST,0,season,completion,4,,2022013001,58835,1212,1212.0,(8:04) (Shotgun) J.Garoppolo pass deep left to B.Aiyuk pushed ob at LA 42 for 31 yards (D.Williams).,2,play_type_pass,2,2,8,4500,08:04,SF 27,27,SF,83,2022-01-31T00:30:35.000Z,false,false,false,false,false,false,7,0,8:06,7:59,left,APPROVED,7,0,true,8.44,75.09,true,true,21,31,24.310000000000002,0.2542,1998-03-17,Arizona State,Pacific Twelve Conference,6-1,206,2020,2020,SF,25,1,SF,A01,Active,00-0036261,Brandon Aiyuk,B.Aiyuk,AIY189231,WR,WR,11,4500,2021,52433,32004149-5918-9231-4476-63b611051b08,Brandon,Aiyuk,Brandon,WR,WR,11,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/myd0hbdegadm0beryuxz,Jimmy Garoppolo,James,Garoppolo,J.Garoppolo,00-0031345,GAR363225,4500,SF,10,QB,QB,21,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ivz3zwvjxvgcu4dzabur,,,,,,,,,,,,,,,,,
2021,POST,0,season,completion,5,,2022012200,58830,2848,2848.0,"(:22) (Shotgun) R.Tannehill pass deep right to A.Brown for 33 yards, TOUCHDOWN [B.Hill].",2,play_type_pass,3,2,16,2100,00:22,CIN 33,33,CIN,43,2022-01-22T23:52:21.000Z,false,false,true,false,false,false,15,16,:23,:17,left,APPROVED,9,16,true,16.3,27.37,true,true,20,33,31.34,0.2707,1997-06-30,Mississippi,Southeastern Conference,6-0,226,2019,2019,TEN,51,2,TEN,A01,Active,00-0035676,A.J. Brown,A.Brown,BRO413223,WR,WR,11,2100,2021,47834,32004252-4f41-3223-e4c5-1e30dffa87f8,Arthur,Brown,A.J.,WR,WR,11,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/oiacjddbxvaeiewm9v62,Ryan Tannehill,Ryan,Tannehill,R.Tannehill,00-0029701,TAN298716,2100,TEN,17,QB,QB,20,https://static.www.nfl.com/image/private/{formatInstructions}/league/yvwju12dl6haf3r8uzrm,,,,,,,,,,,,,,,,,
2021,POST,0,season,completion,6,,2022011501,58825,2991,2991.0,"(13:27) (Shotgun) J.Allen pass deep middle to G.Davis for 19 yards, TOUCHDOWN.",2,play_type_pass,4,2,6,0610,13:27,NE 19,19,NE,29,2022-01-16T03:35:10.000Z,false,false,true,false,false,false,39,10,13:28,13:24,left,APPROVED,33,10,true,6.35,23.17,true,true,19,19,15.26,0.2754,1999-04-01,Central Florida,American Athletic Conference,6-3,213,2020,2020,BUF,128,4,BUF,A01,Active,00-0036196,Gabriel Davis,G.Davis,DAV329675,WR,WR,13,0610,2021,52536,32004441-5632-9675-38f5-3e009da4e98e,Gabriel,Davis,Gabriel,WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ebtshr6tcwatrt1mptvb,Josh Allen,Joshua,Allen,J.Allen,00-0034857,ALL529264,0610,BUF,17,QB,QB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mjwbioajzldkq1vzoz2d,,,,,,,,,,,,,,,,,
2021,POST,0,season,completion,7,,2022011700,58829,2626,2626.0,(3:25) C.Shelton reported in as eligible.  M.Stafford pass deep right to V.Jefferson to ARZ 24 for 41 yards (M.Wilson; J.Thompson).,2,play_type_pass,3,2,6,2510,03:25,LA 35,35,LA,45,2022-01-18T03:33:23.000Z,false,false,false,false,false,false,28,8,3:26,3:18,right,APPROVED,28,8,true,6.54,50.38,true,true,19,41,31.099999999999994,0.2864,1996-07-26,Florida,Southeastern Conference,6-2,197,2020,2020,LA,57,2,LA,A01,Active,00-0036415,Van Jefferson,V.Jefferson,JEF436716,WR,WR,12,2510,2021,52465,32004a45-4643-6716-6cf6-1dcc41075f1f,Vanchii,Jefferson,Van,WR,WR,12,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mpf79etf7jsptmu1ywv8,Matthew Stafford,John,Stafford,M.Stafford,00-0026498,STA134157,2510,LA,9,QB,QB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jwpkjfrkzufdyh8u1mg7,,,,,,,,,,,,,,,,,
2021,POST,0,season,completion,8,,2022012300,58833,4504,4504.0,(:28) (Shotgun) M.Stafford pass deep middle to C.Kupp to TB 12 for 44 yards (A.Winfield) [N.Suh].,2,play_type_pass,4,1,10,2510,00:28,LA 44,44,LA,66,2022-01-23T23:22:09.000Z,false,false,false,false,false,false,27,27,:28,:23,left,APPROVED,27,27,true,10.0,56.56,true,true,20,44,35.83,0.2907,1993-06-15,Eastern Washington,Big Sky Conference,6-2,208,2017,2017,LA,69,3,NFC,A01,Active,00-0033908,Cooper Kupp,C.Kupp,KUP534597,WR,WR,10,8700,2021,44881,32004b55-5053-4597-b958-87408c31956f,Cooper,Kupp,Cooper,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jiaeufv3lpbkhulrddjq,Matthew Stafford,John,Stafford,M.Stafford,00-0026498,STA134157,2510,LA,9,QB,QB,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jwpkjfrkzufdyh8u1mg7,PRO,22,,,,,,,,,,,,,,,
2021,POST,0,season,completion,9,,2022011601,58827,418,418.0,(9:19) (Shotgun) J.Garoppolo pass short left to J.Jennings pushed ob at DAL 47 for 11 yards (J.Lewis).,2,play_type_pass,1,3,10,4500,09:19,SF 42,42,SF,52,2022-01-16T21:57:02.000Z,false,false,false,false,false,false,0,7,9:19,9:15,right,APPROVED,0,7,false,10.39,61.44,true,true,19,11,10.689999999999998,0.3142,1997-07-10,Tennessee,Southeastern Conference,6-3,214,2020,2020,SF,217,7,SF,A01,Active,00-0036259,Jauan Jennings,J.Jennings,JEN497457,WR,WR,15,4500,2021,52625,32004a45-4e49-7457-3af8-79760d0083cb,Bennie,Jennings,Jauan,WR,WR,15,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/cqlktgcvfqbt8j8w6kel,Jimmy Garoppolo,James,Garoppolo,J.Garoppolo,00-0031345,GAR363225,4500,SF,10,QB,QB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ivz3zwvjxvgcu4dzabur,,,,,,,,,,,,,,,,,
2021,POST,0,season,completion,10,,2022011501,58825,1977,1977.0,(:22) (Shotgun) M.Jones pass deep right to J.Meyers to BUF 26 for 19 yards (Ta.Johnson).,2,play_type_pass,2,4,5,3200,00:22,BUF 45,45,BUF,55,2022-01-16T02:37:44.000Z,false,false,false,false,false,false,27,0,:22,:19,left,APPROVED,27,0,false,5.44,50.05,true,true,19,19,17.759999999999998,0.3143,1996-11-09,North Carolina State,Atlantic Coast Conference,6-2,200,2019,2019,,,,NE,A01,Active,00-0034960,Jakobi Meyers,J.Meyers,MEY171606,WR,WR,16,3200,2021,48097,32004d45-5917-1606-4197-8f46779fb9b7,Jakobi,Meyers,Jakobi,SLOT_WR,WR,16,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/g0apvgjnlqqhw0zaremx,Mac Jones,Michael,Jones,M.Jones,00-0036972,JON586540,3200,NE,10,QB,QB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mbdwfwiuhl0ib5ajtmzq,,,,,,,,,,,,,,,,,
