season,row_count,generated_at_utc,source
2016,3074,2026-09-10 03:20:40 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,3083,2026-09-10 03:22:25 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,3608,2026-09-14 21:46:40 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,3635,2026-09-14 21:23:05 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,3011,2026-09-14 21:51:52 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,3627,2026-09-14 22:08:39 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,3620,2026-09-14 21:06:10 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,3726,2026-09-14 21:27:53 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,3712,2026-09-14 21:33:21 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,3724,2026-09-14 21:38:45 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,1032,2026-09-25 17:33:38 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
