season,row_count,generated_at_utc,source
2016,1923,2026-09-10 03:20:23 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,1700,2026-09-10 03:22:08 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,1698,2026-09-14 21:45:56 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,1708,2026-09-14 21:22:25 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,1520,2026-09-14 21:51:20 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,1821,2026-09-14 22:07:47 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,1724,2026-09-14 21:05:21 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,1711,2026-09-14 21:27:32 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,1649,2026-09-14 21:32:56 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,1636,2026-09-14 21:38:22 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,384,2026-09-16 11:47:34 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
