season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg,play_is_goal_to_go,play_actual_yards_to_go,play_actual_yardline_for_first_down,play_health_ball_tracking_is_ok,leader_suffix
2017,POST,fastest_ball_carriers,1,2018011400,57496,1930,1930,"(:32) (Shotgun) B.Roethlisberger pass deep right to M.Bryant for 36 yards, TOUCHDOWN.",2,play_type_pass,2,4,11,3900,00:32,JAX 36,36,JAX,46,2018-01-14T19:31:39.000Z,false,false,true,false,false,13,28,left,APPROVED,7,28,true,true,Martavis Bryant,Martavis,Bryant,M.Bryant,00-0031373,BRY499889,3900,PIT,10,WR,WR,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/davxza3iibzg7aw6c5jm,20.986363683,53.019999999999996,36,,,,false,11.65,35.44,true,
2017,POST,fastest_ball_carriers,2,2018010601,57491,2154,2154,"(:43) (No Huddle, Shotgun) J.Goff pass deep middle to R.Woods to ATL 7 for 38 yards (D.Trufant). The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands.",2,play_type_pass,2,1,10,2510,00:43,ATL 45,45,ATL,55,2018-01-07T02:48:04.000Z,false,false,false,false,false,7,13,left,APPROVED,7,13,true,true,Robert Woods,Robert,Woods,R.Woods,00-0030431,WOO561144,2510,LA,17,WR,WR,18,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ydjg5fylwkf5aaxiul6v,20.372727318000003,38.14999999999999,38,,,,false,10.0,45.09,true,
2017,POST,fastest_ball_carriers,3,2018010701,57493,3671,3671,"(4:20) (Shotgun) C.Newton pass short right to C.McCaffrey for 56 yards, TOUCHDOWN. Pass 6, YAC 50",2,play_type_pass,4,2,10,0750,04:20,CAR 44,44,CAR,66,2018-01-08T00:30:42.000Z,false,false,true,false,false,31,25,left,APPROVED,31,19,true,true,Christian McCaffrey,Christian,McCaffrey,C.McCaffrey,00-0033280,MCC035988,0750,CAR,22,RB,RB,18,https://static.www.nfl.com/image/upload/{formatInstructions}/league/st82s2ytyzanatcmkqck,20.372727318000003,73.22000000000001,56,,,,false,10.23,56.55,true,
2017,POST,fastest_ball_carriers,4,2018010601,57491,3658,3658,(7:22) (Shotgun) M.Ryan pass short right to M.Sanu to LA 10 for 52 yards (L.Joyner).,2,play_type_pass,4,2,13,0200,07:22,ATL 38,38,ATL,72,2018-01-07T04:01:33.000Z,false,false,false,false,false,13,19,left,APPROVED,13,19,true,true,Mohamed Sanu,Mohamed,Sanu,M.Sanu,00-0029632,SAN808447,0200,ATL,12,WR,WR,18,https://static.www.nfl.com/image/private/{formatInstructions}/league/a6loroqhta6g65aqnsrk,20.331818227,66.22999999999999,52,,,,false,13.36,59.46,true,
2017,POST,fastest_ball_carriers,5,2018010600,57490,3051,3051,"(14:17) (Shotgun) D.Henry up the middle for 35 yards, TOUCHDOWN.",2,play_type_rush,4,2,10,2100,14:17,KC 35,35,KC,75,2018-01-06T23:59:47.000Z,false,false,true,false,false,21,16,right,APPROVED,21,10,true,true,Derrick Henry,Derrick,Henry,D.Henry,00-0032764,HEN602843,2100,TEN,22,RB,RB,18,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tm79x0iknqg6hms3ypyt,20.3113636815,49.269999999999996,35,,,,false,10.59,84.89,true,Jr.
2017,POST,fastest_sacks,1,2018012101,57499,1451,1451,"(3:25) (Shotgun) C.Keenum sacked at PHI 25 for -9 yards (D.Barnett). FUMBLES (D.Barnett) [D.Barnett], RECOVERED by PHI-C.Long at PHI 24. C.Long to PHI 24 for no gain (R.Hill).",2,play_type_sack,2,3,5,3000,03:25,PHI 16,16,PHI,26,2018-01-22T00:48:41.000Z,false,false,false,false,true,14,7,left,APPROVED,14,7,false,true,Derek Barnett,Derek,Barnett,D.Barnett,00-0033876,BAR405176,3700,PHI,96,DE,DL,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/eh9ienpeakbbr9mw4vlm,,,,2.468,2.468,3.3966000000000003,false,6.16,21.24,true,
2017,POST,fastest_sacks,2,2018011401,57497,1798,1798,"(1:54) (Shotgun) D.Brees sacked at NO 27 for -6 yards (E.Griffen). FUMBLES (E.Griffen) [E.Griffen], recovered by NO-M.Unger at NO 27. M.Unger to NO 27 for no gain (L.Joseph).",2,play_type_sack,2,1,10,3300,01:54,NO 33,33,NO,43,2018-01-14T23:00:15.000Z,false,false,false,false,false,17,0,right,APPROVED,17,0,false,true,Everson Griffen,Everson,Griffen,E.Griffen,00-0027701,GRI051627,3000,MIN,97,DE,DL,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/fqvc0dkghdix5fq9tfaq,,,,2.737,2.737,3.745333333333333,false,10.0,52.96,true,
2017,POST,fastest_sacks,3,2018020400,57500,4039,4039,"(2:16) (Shotgun) T.Brady sacked at NE 26 for -7 yards (B.Graham). FUMBLES (B.Graham) [B.Graham], RECOVERED by PHI-D.Barnett at NE 28. D.Barnett to NE 31 for -3 yards (D.Andrews).",2,play_type_sack,4,2,2,3200,02:16,NE 33,33,NE,77,2018-02-05T03:02:54.000Z,false,false,false,false,true,33,38,left,APPROVED,33,38,false,true,Brandon Graham,Brandon,Graham,B.Graham,00-0027865,GRA130064,3700,PHI,55,DE,DL,22,https://static.www.nfl.com/image/upload/{formatInstructions}/league/e6iqegrredwqev7qx81m,,,,2.8,2.8,3.3966000000000003,false,2.26,75.28,true,
2017,POST,fastest_sacks,4,2018010601,57491,1919,1919,(1:38) (No Huddle) M.Ryan sacked at ATL 17 for -10 yards (R.Quinn).,2,play_type_sack,2,2,6,0200,01:38,ATL 27,27,ATL,37,2018-01-07T02:40:54.000Z,false,false,false,false,false,7,13,right,APPROVED,7,13,false,true,Robert Quinn,Robert,Quinn,R.Quinn,00-0027952,QUI715221,2510,LA,94,OLB,LB,18,https://static.www.nfl.com/image/private/{formatInstructions}/league/g8hslz6tb43l7xbmxzfh,,,,2.813,2.813,4.325,false,6.69,42.76,true,
2017,POST,fastest_sacks,5,2018010700,57492,3236,3236,"(9:11) (Shotgun) B.Bortles sacked at JAX 19 for -5 yards (L.Johnson). FUMBLES (L.Johnson) [L.Johnson], recovered by JAX-L.Fournette at JAX 17. L.Fournette to JAX 17 for no gain (R.Humber).",2,play_type_sack,4,3,7,2250,09:11,JAX 24,24,JAX,34,2018-01-07T20:34:22.000Z,false,false,false,false,false,10,3,right,APPROVED,10,3,false,true,Leonard Johnson,Leonard,Johnson,L.Johnson,00-0029087,JOH399760,0610,BUF,24,CB,DB,18,https://static.www.nfl.com/image/private/{formatInstructions}/league/dllatrq2rpnfs2kvqkze,,,,2.831,2.831,3.1654999999999998,false,7.87,41.09,true,
2017,PRE,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,fastest_ball_carriers,1,2017083165,57232,1229,1229,"(7:24) T.Baker punts 59 yards to SF 8, Center-M.Windt. V.Bolden for 92 yards, TOUCHDOWN.",2,play_type_punt,2,4,2,4400,07:24,LAC 33,33,LAC,43,2017-09-01T02:56:43.000Z,true,false,true,false,true,16,3,right,APPROVED,10,3,true,true,Victor Bolden,Victor,Bolden,V.Bolden,00-0033306,BOL278396,4500,SF,1,WR,WR,4,https://static.www.nfl.com/image/private/{formatInstructions}/league/kmdby2vcvsafzpkpsp5l,22.3568182315,116.64999999999996,92,,,,,,,,
2017,PRE,fastest_ball_carriers,2,2017081352,57180,839,839,"(1:11) (Shotgun) K.Clemens pass deep right to T.Benjamin for 74 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,4400,01:11,LAC 26,26,LAC,36,2017-08-14T00:41:46.034Z,false,false,true,false,false,13,10,right,APPROVED,7,10,true,true,Travis Benjamin,Travis,Benjamin,,00-0029269,BEN162218,4400,LAC,12,WR,WR,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/io9silocxbywvisvcvpx,22.152272776500002,82.60999999999999,74,,,,,,,,
2017,PRE,fastest_ball_carriers,3,2017081053,57174,629,629,B.McManus kicks 57 yards from DEN 35 to CHI 8. D.Thompson pushed ob at DEN 48 for 44 yards (C.Lewis-Harris).,32,play_type_kickoff,1,0,0,1400,07:02,DEN 35,35,DEN,75,2017-08-11T00:29:37.000Z,true,false,false,false,true,0,10,left,APPROVED,0,10,false,true,Deonte Thompson,Deonte,Thompson,,00-0029388,THO528909,0810,CHI,14,WR,WR,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/bvfgozqccoo627wuitkb,21.845454594,69.29999999999998,44,,,,,,,,
2017,PRE,fastest_ball_carriers,4,2017081253,57185,207,207,(12:19) (Shotgun) J.McCown pass deep right to R.Anderson to TEN 2 for 53 yards (K.Byard).,2,play_type_pass,1,2,11,3430,12:19,NYJ 45,45,NYJ,55,2017-08-12T23:42:02.000Z,false,false,false,false,false,0,0,right,APPROVED,0,0,true,true,Robby Anderson,Robby,Anderson,,00-0032688,AND460305,3430,NYJ,11,WR,WR,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kz2hbymqgrobo1uynciv,21.5386364115,59.37999999999999,53,,,,,,,,
2017,PRE,fastest_ball_carriers,5,2017082151,57201,130,130,"(13:18) B.Wing punts 52 yards to CLV 30, Center-Z.DeOssie. J.Peppers ran ob at NYG 39 for 31 yards (B.Wing).",2,play_type_punt,1,4,17,3410,13:18,NYG 18,18,NYG,92,2017-08-21T00:12:46.000Z,true,false,false,false,true,0,0,left,APPROVED,0,0,true,true,Jabrill Peppers,Jabrill,Peppers,J.Peppers,00-0033883,PEP420619,1050,CLE,22,DB,DB,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ibsp6bicwpzoghc9mofe,21.518181866,83.81000000000003,31,,,,,,,,
