season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_suffix
2019,POST,fastest_ball_carriers,1,2020011901,58165,416,416,"(6:01) (Shotgun) R.Mostert left tackle for 36 yards, TOUCHDOWN.",2,play_type_rush,1,3,8,4500,06:01,GB 36,36,GB,46,2020-01-19T23:54:32.000Z,false,false,true,false,false,false,6,0,6:03,5:56,left,APPROVED,0,0,true,true,true,Raheem Mostert,Dominique,Mostert,R.Mostert,00-0031687,MOS822492,4500,SF,31,RB,RB,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fas5rkweusx2hl7abtzh,21.8659091395,49.710000000000015,36,,,,8.33,38.1,
2019,POST,fastest_ball_carriers,2,2020011200,58162,1287,1287,K.Fairbairn kicks 65 yards from HST 35 to KC 0. M.Hardman ran ob at HST 42 for 58 yards (L.Johnson). HST-L.Johnson was injured during the play.,32,play_type_kickoff,2,0,0,2120,10:54,HOU 35,35,HOU,75,2020-01-12T21:01:46.000Z,true,false,false,false,false,true,0,24,10:54,10:47,left,APPROVED,0,24,true,true,true,Mecole Hardman,Mecole,Hardman,M.Hardman,00-0035140,HAR069520,2310,KC,17,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mswmia17pkencx01nswj,21.845454594,79.09000000000002,58,,,,,,
2019,POST,fastest_ball_carriers,3,2020011900,58164,959,959,"(:51) (Shotgun) P.Mahomes pass short middle to T.Hill for 8 yards, TOUCHDOWN.",2,play_type_pass,1,1,8,2310,00:51,TEN 8,8,TEN,102,2020-01-19T20:45:03.000Z,false,false,true,true,false,false,6,10,:51,:47,right,APPROVED,0,10,true,true,true,Tyreek Hill,Tyreek,Hill,T.Hill,00-0033040,HIL628694,2310,KC,10,WR,WR,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gg73gnfivrn80oyqwazl,21.27272732,37.800000000000004,8,,,,8.519999999999996,110.0,
2019,POST,fastest_ball_carriers,4,2020011101,58161,2388,2388,(8:37) (Shotgun) D.Henry up the middle to BLT 06 for 66 yards (M.Peters).,2,play_type_rush,3,3,1,2100,08:37,TEN 28,28,TEN,38,2020-01-12T03:13:28.000Z,false,false,false,false,false,false,6,14,8:38,8:27,right,APPROVED,6,14,true,true,true,Derrick Henry,Derrick,Henry,D.Henry,00-0032764,HEN602843,2100,TEN,22,RB,RB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tm79x0iknqg6hms3ypyt,20.700000046,78.94,66,,,,0.93,37.98,Jr.
2019,POST,fastest_ball_carriers,5,2020020200,58167,3086,3086,(7:13) (Shotgun) P.Mahomes pass deep left to T.Hill to SF 21 for 44 yards (J.Ward) [D.Buckner].,2,play_type_pass,4,3,15,2310,07:13,KC 35,35,KC,45,2020-02-03T02:31:39.000Z,false,false,false,false,false,false,10,20,7:13,7:03,right,APPROVED,10,20,true,true,true,Tyreek Hill,Tyreek,Hill,T.Hill,00-0033040,HIL628694,2310,KC,10,WR,WR,22,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gg73gnfivrn80oyqwazl,20.454545500000002,57.18000000000002,44,,,,15.28,59.42,
2019,POST,fastest_sacks,1,2020011101,58161,577,577,(4:23) R.Tannehill sacked at BLT 12 for -8 yards (E.Thomas III).,2,play_type_sack,1,2,4,2100,04:23,BAL 04,4,BAL,106,2020-01-12T01:34:47.000Z,false,false,false,true,false,false,0,0,4:25,4:23,right,APPROVED,0,0,false,true,true,Earl Thomas,Earl,Thomas,E.Thomas III,00-0027866,THO124271,0325,BAL,29,FS,DB,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/zqeizl8cu6rbtyjwbjka,,,,2.469,2.469,2.469,4.67,110.0,III
2019,POST,fastest_sacks,2,2020020200,58167,2173,2173,"(6:22) (Shotgun) P.Mahomes sacked at KC 37 for -9 yards (N.Bosa). FUMBLES (N.Bosa), and recovers at KC 39. P.Mahomes to KC 39 for no gain (D.Ford).",2,play_type_sack,3,2,5,2310,06:22,KC 46,46,KC,64,2020-02-03T01:49:49.000Z,false,false,false,false,false,false,10,13,6:22,6:18,left,APPROVED,10,13,false,true,true,Nick Bosa,Nicholas,Bosa,N.Bosa,00-0035717,BOS073285,4500,SF,97,DE,DL,22,https://static.www.nfl.com/image/upload/{formatInstructions}/league/c7grjmvod7lnrfz4ordx,,,,2.703,4.8725000000000005,4.533714285714286,5.86,59.2,
2019,POST,fastest_sacks,3,2020011201,58163,3443,3443,(6:27) (Shotgun) A.Rodgers sacked at SEA 48 for -8 yards (Sm.Griffin).,2,play_type_sack,4,3,9,1800,06:27,SEA 40,40,SEA,70,2020-01-13T02:25:47.000Z,false,false,false,false,false,false,28,23,6:27,6:26,right,APPROVED,28,23,false,true,true,Shaquem Griffin,Shaquem,Griffin,Sm.Griffin,00-0034755,GRI295884,4600,SEA,49,LB,LB,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/gbldsrfxrfbmwq35lrkn,,,,2.769,2.769,5.5253,9.61,78.66,
2019,POST,fastest_sacks,4,2020010500,58158,3615,3615,"(4:26) (Shotgun) D.Brees sacked at MIN 28 for -8 yards (D.Hunter). FUMBLES (D.Hunter) [D.Hunter], touched at MIN 34, RECOVERED by MIN-J.Holmes at MIN 36. J.Holmes to MIN 37 for 1 yard (R.Ramczyk).",2,play_type_sack,4,1,10,3300,04:26,MIN 20,20,MIN,90,2020-01-05T20:50:42.000Z,false,false,false,false,false,true,17,20,4:26,4:20,right,APPROVED,17,20,false,true,true,Danielle Hunter,Danielle,Hunter,D.Hunter,00-0031565,HUN529240,3000,MIN,99,DE,DL,18,https://static.www.nfl.com/image/upload/{formatInstructions}/league/l4qdgo10becu0f3zgmyj,,,,3.303,3.5530000000000004,4.3795,10.0,99.54,
2019,POST,fastest_sacks,5,2020011901,58165,841,841,"(13:24) (Shotgun) A.Rodgers sacked at GB 20 for -9 yards (K.Williams). FUMBLES (K.Williams), touched at GB 19, recovered by GB-B.Turner at GB 14.",2,play_type_sack,2,3,6,1800,13:24,GB 29,29,GB,81,2020-01-20T00:16:02.000Z,false,false,false,false,false,false,10,0,13:25,13:18,left,APPROVED,10,0,false,true,true,K'Waun Williams,K'Waun,Williams,K.Williams,00-0031253,WIL415204,4500,SF,24,CB,DB,20,https://static.www.nfl.com/image/private/{formatInstructions}/league/o07uyyoj3nvtpni2ons7,,,,3.332,3.332,4.533714285714286,6.36,75.59,
