season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_actual_yards_to_go,play_actual_yardline_for_first_down,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg
2023,POST,fastest_ball_carriers,1,2024012801,59505,1825,1825,(1:55) (Shotgun) J.Gibbs left end ran ob at SF 34 for 13 yards (A.Thomas).,2,play_type_rush,2,3,12,1540,01:55,SF 47,47,SF,57,2024-01-29T00:56:27.000Z,false,false,false,false,false,false,7,21,1:55,1:50,left,APPROVED,7,21,false,12.32,45.3,true,true,Jahmyr Gibbs,Jahmyr,Gibbs,J.Gibbs,00-0039139,GIB198578,1540,DET,26,RB,RB,21,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cursejnmmp1i9hnxihkj,20.925000046500003,36.52,13,,,
2023,POST,fastest_ball_carriers,2,2024011401,59497,1746,1746,"(2:00) (Shotgun) D.Prescott pass short left intended for C.Lamb INTERCEPTED by D.Savage at GB 36. D.Savage for 64 yards, TOUCHDOWN.",2,play_type_pass,2,2,2,1200,02:00,GB 40,40,GB,70,2024-01-14T22:49:17.000Z,false,false,true,false,false,true,0,26,2:00,1:51,right,APPROVED,0,20,true,2.42,71.6,true,true,Darnell Savage,Darnell,Savage,D.Savage,00-0034968,SAV426683,1800,GB,26,SS,DB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/oahujzgwcvkeyc9qpqrb,20.822727319000002,74.9,64,,,
2023,POST,fastest_ball_carriers,3,2024011500,59499,2995,2995,"(1:30) (Shotgun) B.Mayfield pass short right to T.Palmer for 56 yards, TOUCHDOWN.",2,play_type_pass,3,2,4,4900,01:30,TB 44,44,TB,66,2024-01-16T03:29:42.000Z,false,false,true,false,false,false,24,9,1:30,1:20,left,APPROVED,18,9,true,4.74,61.96,true,true,Trey Palmer,Trey,Palmer,T.Palmer,00-0039052,PAL683280,4900,TB,10,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cdtzofb5u510xjh08qr4,20.781818228000002,76.85,56,,,
2023,POST,fastest_ball_carriers,4,2024011500,59499,1703,1703,(3:54) (Shotgun) J.Hurts pass deep middle to D.Smith to TB 5 for 55 yards (J.Dean).,2,play_type_pass,2,2,8,3700,03:54,PHI 40,40,PHI,70,2024-01-16T02:24:04.000Z,false,false,false,false,false,false,16,3,3:55,3:48,left,APPROVED,16,3,true,9.08,61.97,true,true,DeVonta Smith,DeVonta,Smith,D.Smith,00-0036912,SMI206016,3700,PHI,6,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/k724kq3hyv7jc0y9s03x,20.454545500000002,57.519999999999996,55,,,
2023,POST,fastest_ball_carriers,5,2024011401,59497,1796,1796,A.Carlson kicks 67 yards from GB 35 to DAL -2. K.Turpin to DAL 45 for 47 yards (Er.Wilson).,32,play_type_kickoff,2,0,0,1800,01:50,GB 35,35,GB,75,2024-01-14T22:51:20.000Z,true,false,false,false,false,true,0,27,1:50,1:44,left,APPROVED,0,27,true,,,true,true,KaVontae Turpin,Kavontae,Turpin,K.Turpin,00-0037801,TUR785436,1200,DAL,9,WR,WR,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tayjlp1hgmm6rewgl1k4,20.4340909545,58.75999999999997,47,,,
2023,POST,fastest_sacks,1,2024012100,59502,2235,2235,(11:31) (Shotgun) B.Mayfield sacked at DET 47 for -9 yards (A.Hutchinson).,2,play_type_sack,3,3,4,4900,11:31,DET 38,38,DET,48,2024-01-21T21:43:47.000Z,false,false,false,false,false,false,10,10,11:32,11:30,left,APPROVED,10,10,false,4.35,44.23,true,true,Aidan Hutchinson,Aidan,Hutchinson,A.Hutchinson,00-0037236,HUT099869,1540,DET,97,DE,DL,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gmeczjok2lmjftb6mfof,,,,2.77,3.56,4.7717
2023,POST,fastest_sacks,2,2024011401,59497,2475,2475,(10:10) (Shotgun) D.Prescott sacked at GB 16 for 0 yards (D.Campbell).,2,play_type_sack,3,1,10,1200,10:10,GB 16,16,GB,26,2024-01-14T23:22:38.000Z,false,false,false,false,false,false,7,27,10:11,10:09,left,APPROVED,7,27,false,10.0,16.07,true,true,De'Vondre Campbell,De'Vondre,Campbell,D.Campbell,00-0032401,CAM227922,1800,GB,59,ILB,LB,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wctve53etxcg6hx9o9cr,,,,2.936,2.936,5.304333333333333
2023,POST,fastest_sacks,3,2024012100,59502,1727,1727,(1:40) (Shotgun) J.Goff sacked at DET 45 for -4 yards (C.Kancey). DET-F.Ragnow was injured during the play.,2,play_type_sack,2,3,1,1540,01:40,DET 49,49,DET,61,2024-01-21T21:12:08.000Z,false,false,false,false,false,false,10,3,1:41,1:38,left,APPROVED,10,3,false,1.69,60.08,true,true,Calijah Kancey,Calijah,Kancey,C.Kancey,00-0039063,KAN046143,4900,TB,94,DE,DL,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b84aoobgsdbufhfiqgti,,,,2.966,3.702,4.4235
2023,POST,fastest_sacks,4,2024012100,59502,230,230,(12:06) (Shotgun) B.Mayfield sacked at TB 37 for -8 yards (I.Melifonwu).,2,play_type_sack,1,2,9,4900,12:06,TB 45,45,TB,65,2024-01-21T20:08:02.000Z,false,false,false,false,false,false,0,0,12:07,12:04,left,APPROVED,0,0,false,8.8,56.28,true,true,Ifeatu Melifonwu,Ifeatu,Melifonwu,I.Melifonwu,00-0036993,MEL074151,1540,DET,6,CB,DB,20,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ftt7jc1nr0hmf1xmzyh2,,,,3.07,5.108999999999999,4.7717
2023,POST,fastest_sacks,5,2024011402,59498,877,877,(1:27) (Shotgun) M.Stafford sacked at LA 19 for -9 yards (A.Hutchinson).,2,play_type_sack,1,1,10,2510,01:27,LA 28,28,LA,38,2024-01-15T01:46:53.000Z,false,false,false,false,false,false,14,3,1:27,1:24,right,APPROVED,14,3,false,10.0,47.5,true,true,Aidan Hutchinson,Aidan,Hutchinson,A.Hutchinson,00-0037236,HUT099869,1540,DET,97,DE,DL,19,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gmeczjok2lmjftb6mfof,,,,3.105,3.56,4.7717
