season,row_count,generated_at_utc,source
2016,80,2026-09-10 03:20:31 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,80,2026-09-10 03:22:17 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,80,2026-09-14 21:46:07 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,80,2026-09-14 21:22:36 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,45,2026-09-14 21:51:29 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,80,2026-09-14 22:07:58 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,80,2026-09-14 21:05:34 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,80,2026-09-14 21:27:42 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,80,2026-09-14 21:33:07 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,80,2026-09-14 21:38:33 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,70,2026-09-16 17:17:56 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
