season,team_id,smart_id,abbr,city_state,full_name,nick,team_type,conference_abbr,stadium_name,conference_id,conference_full_name,year_found,logo,division_abbr,division_id,division_full_name,ticket_phone_number,team_site_url,team_site_ticket_url
2024,0200,10400200-f401-4e53-5175-0974e4f16cf7,ATL,Atlanta,Atlanta Falcons,Falcons,TEAM,NFC,Mercedes-Benz Stadium,0015,National Football Conference,1966,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/ATL,NCS,0020,NFC South Division,470-341-4500,http://www.atlantafalcons.com/,http://www.atlantafalcons.com/tickets/
2024,0325,10400325-48de-3d6a-be29-8f829437f4c8,BAL,Baltimore,Baltimore Ravens,Ravens,TEAM,AFC,M&T Bank Stadium,0011,American Football Conference,1996,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/BAL,ACN,0013,AFC North Division,410-261-RAVE (7283),http://www.baltimoreravens.com/,http://www.baltimoreravens.com/tickets/
2024,0610,10400610-c40e-a673-1743-2ce2a5d5d731,BUF,Buffalo,Buffalo Bills,Bills,TEAM,AFC,Highmark Stadium,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/BUF,ACE,0012,AFC East Division,877-BB-TICKS,http://www.buffalobills.com/,http://www.buffalobills.com/tickets/
2024,0750,10400750-259b-33ac-eee3-a3852e83cd1f,CAR,Carolina,Carolina Panthers,Panthers,TEAM,NFC,Bank of America Stadium,0015,National Football Conference,1995,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/CAR,NCS,0020,NFC South Division,800-745-3000,http://www.panthers.com/,http://www.panthers.com/tickets/
2024,0810,10400810-db30-43d6-221c-620006f3ca19,CHI,Chicago,Chicago Bears,Bears,TEAM,NFC,Soldier Field,0015,National Football Conference,1920,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/CHI,NCN,0017,NFC North Division,888-79-BEARS,http://www.chicagobears.com/,http://www.chicagobears.com/tickets/
2024,0920,10400920-57c1-7656-e77e-1af3d900483e,CIN,Cincinnati,Cincinnati Bengals,Bengals,TEAM,AFC,Paycor Stadium,0011,American Football Conference,1968,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/CIN,ACN,0013,AFC North Division,866-621-TDTD (8383),http://www.bengals.com/,http://www.bengals.com/tickets/
2024,1050,10401050-5e38-b907-1be1-55b91b19c057,CLE,Cleveland,Cleveland Browns,Browns,TEAM,AFC,Cleveland Browns Stadium,0011,American Football Conference,1946,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/CLE,ACN,0013,AFC North Division,440-824-3434,http://www.clevelandbrowns.com/,http://www.clevelandbrowns.com/tickets/
2024,1200,10401200-a308-98ca-ad5f-95df2fefea68,DAL,Dallas,Dallas Cowboys,Cowboys,TEAM,NFC,AT&T Stadium,0015,National Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/DAL,NCE,0016,NFC East Division,817-892-5000,http://www.dallascowboys.com/,http://www.dallascowboys.com/tickets/index.html
2024,1400,10401400-b89b-96e5-55d1-caa7e18de3d8,DEN,Denver,Denver Broncos,Broncos,TEAM,AFC,Empower Field at Mile High,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/DEN,ACW,0014,AFC West Division,720-258-3333,http://www.denverbroncos.com/,http://www.denverbroncos.com/ticketOffice
2024,1540,10401540-f97c-2d19-6fcd-fac6490a48b7,DET,Detroit,Detroit Lions,Lions,TEAM,NFC,Ford Field,0015,National Football Conference,1930,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/DET,NCN,0017,NFC North Division,313-262-2011,http://www.detroitlions.com/,http://www.detroitlions.com/tickets/index.html
2024,1800,10401800-ab22-323d-721a-cee4713c4c2d,GB,Green Bay,Green Bay Packers,Packers,TEAM,NFC,Lambeau Field,0015,National Football Conference,1921,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/GB,NCN,0017,NFC North Division,920-569-7501,http://www.packers.com/,http://www.packers.com/tickets/
